Facility_INSPIRE_ID_cluster,Facility_INSPIRE_ID
DE.EEA/14-80-56360980000.FACILITY,DE.EEA/14-30-56360980000.FACILITY
DE.EEA/16-70-30400018001.FACILITY,DE.EEA/109020.FACILITY
DE.EEA/16-71-31400103013.FACILITY,DE.EEA/109004.FACILITY
DE.EEA/16-72-31400103012.FACILITY,DE.EEA/16-30-31400103012.FACILITY
DK.CAED/000058387.FACILITY,DK.EEA/6721.FACILITY
DK.CAED/000062943.FACILITY,DK.EEA/9867.FACILITY
DK.CAED/000063020.FACILITY,DK.CAED/000062366.FACILITY
DK.CAED/000063061.FACILITY,DK.EEA/3033.FACILITY
DK.CAED/000065911.FACILITY,DK.EEA/5476.FACILITY
DK.CAED/000068883.FACILITY,DK.CAED/000062559.FACILITY
DK.CAED/000071795.FACILITY,DK.EEA/7037.FACILITY
DK.CAED/000073957.FACILITY,DK.EEA/8923.FACILITY
DK.CAED/000074352.FACILITY,DK.EEA/9862.FACILITY
DK.CAED/000074641.FACILITY,DK.EEA/9183.FACILITY
DK.CAED/000076687.FACILITY,DK.CAED/000072993.FACILITY
DK.CAED/000077969.FACILITY,DK.EEA/1190.FACILITY
DK.CAED/000080013.FACILITY,DK.CAED/000106060.FACILITY
DK.CAED/000082113.FACILITY,DK.CAED/000068280.FACILITY
DK.CAED/000082682.FACILITY,DK.CAED/000113108.FACILITY
DK.CAED/000083825.FACILITY,DK.EEA/9061.FACILITY
DK.CAED/000084307.FACILITY,DK.EEA/6620.FACILITY
DK.CAED/000085903.FACILITY,DK.EEA/9184.FACILITY
DK.CAED/000085919.FACILITY,DK.CAED/000071624.FACILITY
DK.CAED/000086079.FACILITY,DK.EEA/5756.FACILITY
DK.CAED/000086080.FACILITY,DK.EEA/9376.FACILITY
DK.CAED/000087784.FACILITY,DK.EEA/9598.FACILITY
DK.CAED/000089459.FACILITY,DK.EEA/3069.FACILITY
DK.CAED/000095001.FACILITY,DK.EEA/4426.FACILITY
DK.CAED/000095263.FACILITY,DK.EEA/1966.FACILITY
DK.CAED/000096012.FACILITY,DK.EEA/7244.FACILITY
DK.CAED/000096764.FACILITY,DK.EEA/6458.FACILITY
DK.CAED/000096939.FACILITY,DK.EEA/7054.FACILITY
DK.CAED/000097645.FACILITY,DK.CAED/000072143.FACILITY
DK.CAED/000098359.FACILITY,DK.EEA/9789.FACILITY
DK.CAED/000098623.FACILITY,DK.EEA/9813.FACILITY
DK.CAED/000099466.FACILITY,DK.CAED/000084582.FACILITY
DK.CAED/000100323.FACILITY,DK.EEA/6009.FACILITY
DK.CAED/000100450.FACILITY,DK.EEA/9383.FACILITY
DK.CAED/000103304.FACILITY,DK.EEA/9783.FACILITY
DK.CAED/000103476.FACILITY,DK.EEA/9052.FACILITY
DK.CAED/000103510.FACILITY,DK.EEA/9384.FACILITY
DK.CAED/000104651.FACILITY,DK.CAED/000105086.FACILITY
DK.CAED/000104676.FACILITY,DK.EEA/7014.FACILITY
DK.CAED/000104808.FACILITY,DK.EEA/2885.FACILITY
DK.CAED/000105712.FACILITY,DK.EEA/9837.FACILITY
DK.CAED/000106172.FACILITY,DK.EEA/519.FACILITY
DK.CAED/000106204.FACILITY,DK.EEA/4517.FACILITY
DK.CAED/000106227.FACILITY,DK.EEA/4418.FACILITY
DK.CAED/000106229.FACILITY,DK.EEA/1516.FACILITY
DK.CAED/000106301.FACILITY,DK.EEA/1721.FACILITY
DK.CAED/000111768.FACILITY,DK.CAED/000112676.FACILITY
DK.CAED/000112110.FACILITY,DK.CAED/000063089.FACILITY
DK.CAED/000212341.FACILITY,DK.CAED/000100918.FACILITY
DK.CAED/900000024.FACILITY,DK.EEA/9026.FACILITY
DK.EEA/3594.FACILITY,DK.EEA/9172.FACILITY
DK.EEA/4428.FACILITY,DK.EEA/4426.FACILITY
DK.EEA/4570.FACILITY,DK.EEA/9374.FACILITY
DK.EEA/5705.FACILITY,DK.EEA/9026.FACILITY
DK.EEA/9105.FACILITY,DK.EEA/9741.FACILITY
DK.EEA/9379.FACILITY,DK.EEA/6621.FACILITY
DK.EEA/9571.FACILITY,DK.EEA/9601.FACILITY
DK.EEA/9592.FACILITY,DK.EEA/9594.FACILITY
DK.EEA/9673.FACILITY,DK.EEA/2619.FACILITY
DK.EEA/9727.FACILITY,DK.EEA/3789.FACILITY
DK.EEA/9740.FACILITY,DK.EEA/7208.FACILITY
DK.EEA/9782.FACILITY,DK.EEA/9058.FACILITY
EE.KAUR.TTR/221.FACILITY,EE.KAUR.TTR/148.FACILITY
EL.CAED/100101.FACILITY,EL.CAED/100084.FACILITY
EL.CAED/100102.FACILITY,EL.CAED/100084.FACILITY
EL.CAED/100103.FACILITY,EL.CAED/100084.FACILITY
EL.CAED/100209.FACILITY,GR.EEA/EL5500369.FACILITY
EL.CAED/100300.FACILITY,EL.CAED/100255.FACILITY
EL.CAED/100460.FACILITY,GR.EEA/EL1301267.FACILITY
EL.CAED/100484.FACILITY,GR.EEA/EL0300918.FACILITY
EL.CAED/100644.FACILITY,EL.CAED/100600.FACILITY
EL.CAED/100692.FACILITY,GR.EEA/EL0302006.FACILITY
EL.CAED/100704.FACILITY,EL.CAED/100084.FACILITY
EL.CAED/100748.FACILITY,GR.EEA/EL5801162.FACILITY
ES.CAED/000120000.FACILITY,ES.CAED/000125000.FACILITY
ES.CAED/000569000.FACILITY,ES.EEA/582.FACILITY
ES.CAED/000664000.FACILITY,ES.CAED/000559000.FACILITY
ES.CAED/001139000.FACILITY,ES.CAED/001138000.FACILITY
ES.CAED/001170000.FACILITY,ES.CAED/001153000.FACILITY
ES.CAED/001543000.FACILITY,ES.EEA/1543.FACILITY
ES.CAED/002118000.FACILITY,ES.EEA/6366.FACILITY
ES.CAED/002688000.FACILITY,ES.EEA/2687.FACILITY
ES.CAED/002821000.FACILITY,ES.CAED/002820000.FACILITY
ES.CAED/002835000.FACILITY,ES.CAED/004070000.FACILITY
ES.CAED/002840000.FACILITY,ES.CAED/002841000.FACILITY
ES.CAED/002888000.FACILITY,ES.CAED/002841000.FACILITY
ES.CAED/002940000.FACILITY,ES.CAED/005275000.FACILITY
ES.CAED/002952000.FACILITY,ES.CAED/002841000.FACILITY
ES.CAED/003498000.FACILITY,ES.EEA/3501.FACILITY
ES.CAED/004513000.FACILITY,ES.CAED/001153000.FACILITY
ES.CAED/004819000.FACILITY,ES.CAED/007653000.FACILITY
ES.CAED/004831000.FACILITY,ES.CAED/004836000.FACILITY
ES.CAED/004868000.FACILITY,ES.CAED/001100000.FACILITY
ES.CAED/004886000.FACILITY,ES.CAED/002281000.FACILITY
ES.CAED/005074000.FACILITY,ES.CAED/005498000.FACILITY
ES.CAED/005104000.FACILITY,ES.CAED/001693000.FACILITY
ES.CAED/005291000.FACILITY,ES.CAED/002957000.FACILITY
ES.CAED/006106000.FACILITY,ES.CAED/000553000.FACILITY
ES.CAED/006374000.FACILITY,ES.EEA/6373.FACILITY
ES.CAED/006568000.FACILITY,ES.EEA/6359.FACILITY
ES.CAED/007394000.FACILITY,ES.CAED/006728000.FACILITY
ES.CAED/007539000.FACILITY,ES.CAED/003290000.FACILITY
ES.CAED/007715000.FACILITY,ES.CAED/005651000.FACILITY
ES.CAED/007743000.FACILITY,ES.CAED/006713000.FACILITY
ES.CAED/007903000.FACILITY,ES.CAED/001421000.FACILITY
ES.CAED/008028000.FACILITY,ES.CAED/006713000.FACILITY
ES.CAED/008038000.FACILITY,ES.CAED/008039000.FACILITY
ES.CAED/008055000.FACILITY,ES.EEA/7345.FACILITY
ES.CAED/008057000.FACILITY,ES.EEA/7238.FACILITY
ES.CAED/008114000.FACILITY,ES.CAED/005651000.FACILITY
ES.CAED/008172000.FACILITY,ES.EEA/4617.FACILITY
ES.CAED/008276000.FACILITY,ES.CAED/006709000.FACILITY
ES.CAED/008284000.FACILITY,ES.EEA/8284.FACILITY
ES.CAED/008330000.FACILITY,ES.EEA/2116.FACILITY
ES.CAED/008390000.FACILITY,ES.EEA/3066.FACILITY
ES.CAED/008402000.FACILITY,ES.EEA/3533.FACILITY
ES.CAED/008496000.FACILITY,ES.CAED/008039000.FACILITY
ES.CAED/008560000.FACILITY,ES.EEA/7300.FACILITY
ES.CAED/008659000.FACILITY,ES.CAED/006726000.FACILITY
ES.CAED/008762000.FACILITY,ES.CAED/002514000.FACILITY
ES.CAED/008864000.FACILITY,ES.EEA/3084.FACILITY
ES.CAED/008872000.FACILITY,ES.EEA/6398.FACILITY
ES.CAED/008915000.FACILITY,ES.EEA/3220.FACILITY
ES.CAED/009083000.FACILITY,ES.EEA/6398.FACILITY
ES.CAED/009093000.FACILITY,ES.EEA/3624.FACILITY
ES.CAED/009152000.FACILITY,ES.EEA/3353.FACILITY
ES.CAED/009154000.FACILITY,ES.EEA/6465.FACILITY
ES.CAED/009163000.FACILITY,ES.EEA/6466.FACILITY
